question,executor_cores,execution_time_sec
Q8,1,15.738215208053589
Q8,2,12.937493085861206
Q8,4,13.197497367858887
Q8,6,13.383209705352783
Q8,8,12.911359071731567
Q8,12,12.67153549194336
